GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sample
20782107	18.809738	53.335076	0	0	0.208069	0	0.039357	0.026495	0.201176	0.391996	0.867093	0.475379	0.267801	0.202573	0.170416	0.149887	0.134944	0.123604	0.107151	0.09561	0.08652	0.079222	0.073425	0.068301	0.063852	0.394504	2	DC4-10
20782107	81.979923	83.258199	47	38	0.212108	0	0.031893	0.026286	0.207234	0.188075	0.665596	0.979374	0.916413	0.840088	0.77349	0.716301	0.666317	0.621991	0.547778	0.487881	0.437893	0.396019	0.360418	0.329865	0.303228	0.955951	14	DC4-1000
20782107	42.828144	65.014411	14	13	0.21603	0	0.035708	0.024862	0.199059	0.148877	0.624536	0.922356	0.731164	0.590252	0.498144	0.432118	0.382932	0.343917	0.285893	0.24463	0.212918	0.188304	0.168064	0.151278	0.136822	0.85196	8	DC5-100
20782107	109.7015	86.087516	84	60	0.214072	0	0.030191	0.025587	0.206058	0.157869	0.633777	0.990089	0.965864	0.930601	0.893441	0.856969	0.82132	0.786815	0.722282	0.66353	0.609843	0.560883	0.516667	0.477291	0.442103	0.980798	17	DC5-10000
20782107	10.110043	36.791233	0	0	0.200414	0	0.044336	0.027348	0.196922	0.237036	0.706057	0.389619	0.191432	0.135078	0.10879	0.092574	0.081214	0.072354	0.059557	0.050872	0.044482	0.039796	0.036129	0.033128	0.030476	0.31219	2	DC5-10
20782107	65.321296	78.097036	30	25	0.226969	0	0.034152	0.025266	0.205774	0.290574	0.782736	0.967944	0.866017	0.760559	0.677434	0.609337	0.553305	0.506532	0.433268	0.378824	0.335237	0.300218	0.271311	0.246813	0.226204	0.930756	12	DC5-1000
20782107	52.658651	76.870334	16	15	0.213059	0	0.03735	0.024385	0.20131	0.244065	0.720168	0.89784	0.711013	0.591571	0.5146	0.45846	0.415265	0.380788	0.327439	0.288632	0.258416	0.234737	0.215073	0.198236	0.183762	0.828225	8	QC1-100
20782107	94.271992	83.291825	64	47	0.214159	0	0.033646	0.025856	0.200753	0.160628	0.635042	0.988197	0.952613	0.902911	0.853352	0.805792	0.760609	0.719016	0.643898	0.579076	0.523342	0.475492	0.433604	0.396556	0.363986	0.974649	16	QC1-10000
20782107	0.066149	2.410841	0	0	0.297099	0	0.028992	0.019212	0.227482	0.124416	0.6972	0.021043	0.001179	0.000572	0.000388	0.000305	0.000272	0.000249	0.000219	0.000191	0.000179	0.000166	0.000154	0.000144	0.000127	0.013393	0	QC1-10
20782107	80.165137	82.344474	45	36	0.226529	0	0.035547	0.024389	0.204626	0.167262	0.658354	0.981058	0.918481	0.841355	0.772761	0.713347	0.661535	0.615938	0.538919	0.476277	0.425506	0.383634	0.348507	0.318804	0.293179	0.958072	14	QC1-1000
20782107	59.385137	81.559853	19	18	0.197704	0	0.034954	0.026075	0.196159	0.323157	0.778048	0.913042	0.741264	0.626202	0.551226	0.496182	0.453113	0.41841	0.364116	0.323907	0.292068	0.265854	0.244234	0.226011	0.210531	0.848032	8	QC2-100
20782107	117.789931	87.88963	94	67	0.187374	0	0.030532	0.026576	0.200011	0.202493	0.646987	0.991328	0.971039	0.940668	0.908432	0.874442	0.841269	0.809316	0.748978	0.693423	0.643255	0.597386	0.555895	0.517798	0.48253	0.983299	18	QC2-10000
20782107	0.03379	1.34248	0	0	0.355649	0	0.019609	0.016479	0.225459	0.103015	0.720211	0.0131	0.000814	0.000441	0.000295	0.000208	0.000153	0.000114	0.000069	0.000047	0.000039	0.000033	0.000032	0.000031	0.00003	0.008525	0	QC2-10
20782107	93.346701	85.208391	61	47	0.172546	0	0.033612	0.026424	0.197497	0.203843	0.633922	0.986215	0.943273	0.886394	0.831712	0.781464	0.735929	0.694743	0.621938	0.560213	0.507502	0.46208	0.42278	0.388401	0.35791	0.969855	15	QC2-1000
20782107	50.883338	77.373526	13	12	0.204335	0	0.036466	0.026078	0.194454	0.296365	0.757698	0.884275	0.677078	0.555534	0.481347	0.428444	0.388663	0.357243	0.309316	0.273992	0.246668	0.224785	0.206744	0.191	0.177427	0.805871	7	TC1-100
20782107	112.434732	87.763287	86	62	0.191352	0	0.031941	0.025782	0.20492	0.21723	0.671224	0.990239	0.965457	0.929804	0.893091	0.856838	0.82107	0.786478	0.722475	0.665286	0.61448	0.568384	0.526529	0.488988	0.455069	0.980695	17	TC1-10000
20782107	26.863278	61.625129	2	2	0.223019	0	0.040493	0.025667	0.194833	0.34373	0.827742	0.63203	0.38784	0.296768	0.250459	0.220171	0.197484	0.180095	0.154526	0.136521	0.123342	0.113162	0.104645	0.097644	0.09159	0.537982	3	TC1-10
20782107	84.939609	85.637181	49	40	0.206136	0	0.032546	0.025727	0.202681	0.228711	0.695801	0.979037	0.915209	0.840647	0.775492	0.718008	0.669128	0.626795	0.555335	0.496434	0.447604	0.406122	0.371052	0.340773	0.314716	0.955088	13	TC1-1000
20782107	65.626712	85.749029	22	21	0.194893	0	0.034881	0.026992	0.196756	0.333426	0.786948	0.914258	0.751736	0.643233	0.572452	0.521121	0.480697	0.447322	0.395519	0.356026	0.323557	0.297056	0.275001	0.255958	0.239722	0.852806	8	TC2-100
20782107	113.418754	88.724415	87	64	0.201757	0	0.033104	0.026626	0.197227	0.260729	0.719443	0.98992	0.964626	0.928764	0.891182	0.853731	0.818122	0.784337	0.721128	0.664864	0.614232	0.568726	0.527532	0.490158	0.456717	0.980023	17	TC2-10000
20782107	5.008262	20.824301	0	0	0.28955	0	0.048108	0.024307	0.186921	0.113834	0.66272	0.474378	0.165681	0.092873	0.064441	0.049102	0.039519	0.032954	0.024419	0.019371	0.016044	0.013716	0.011935	0.010566	0.009439	0.356337	2	TC2-10
20782107	91.877435	89.365273	54	45	0.200741	0	0.033549	0.026485	0.202801	0.284226	0.747802	0.978439	0.917605	0.846793	0.785673	0.73262	0.686542	0.645913	0.577711	0.522574	0.476546	0.437378	0.403313	0.373858	0.348011	0.955613	14	TC2-1000
20782107	44.658715	70.237938	13	12	0.215725	0	0.03513	0.025227	0.201002	0.210725	0.68781	0.893847	0.688112	0.554674	0.472159	0.414292	0.370191	0.335564	0.28371	0.245555	0.216455	0.193481	0.174738	0.159532	0.14674	0.817605	7	TC5-100
20782107	113.001545	89.597999	85	64	0.220246	0	0.032317	0.025603	0.206644	0.247199	0.732008	0.990054	0.962901	0.923828	0.884018	0.846518	0.810743	0.776733	0.71248	0.654838	0.604837	0.560355	0.520816	0.485423	0.453068	0.979635	17	TC5-10000
20782107	23.644477	55.983642	2	2	0.245626	0	0.040372	0.024279	0.204345	0.270818	0.78544	0.647601	0.38621	0.290591	0.240607	0.207573	0.184349	0.166258	0.140712	0.123068	0.109372	0.098533	0.089753	0.082516	0.076432	0.549716	3	TC5-10
20782107	79.217005	79.533976	47	36	0.219226	0	0.033781	0.023311	0.208199	0.143332	0.627848	0.983479	0.930188	0.860743	0.795977	0.736623	0.683562	0.635559	0.552854	0.485893	0.430409	0.384791	0.346555	0.314381	0.286685	0.963879	14	TC5-1000
