chrom	start	end	direction	depth	sample	totalCoverage
Pf3D7_02_v3	470576	470675	for	12	xV01	FALSE
Pf3D7_02_v3	470576	470675	for	32	xV04	FALSE
Pf3D7_02_v3	470576	470675	for	57	xV05	FALSE
Pf3D7_02_v3	470576	470675	for	89	xV03	FALSE
Pf3D7_02_v3	470576	470675	for	9	xV02	FALSE
Pf3D7_02_v3	501971	502040	rev	12	xV04	FALSE
Pf3D7_02_v3	501971	502040	rev	14	xV05	FALSE
Pf3D7_02_v3	501971	502040	rev	172	xV03	FALSE
Pf3D7_02_v3	501971	502040	rev	179	xV02	FALSE
Pf3D7_02_v3	501971	502040	rev	27	xV01	FALSE
Pf3D7_02_v3	501971	502040	rev	33	xV06	FALSE
Pf3D7_02_v3	596077	596218	for	154	xV02	FALSE
Pf3D7_02_v3	596077	596218	for	175	xV06	FALSE
Pf3D7_02_v3	596077	596218	for	301	xV05	FALSE
Pf3D7_02_v3	596077	596218	for	493	xV01	FALSE
Pf3D7_02_v3	596077	596218	for	564	xV03	FALSE
Pf3D7_02_v3	596077	596218	for	63	xV04	FALSE
Pf3D7_02_v3	798865	799053	for	0	xV01	FALSE
Pf3D7_02_v3	798865	799053	for	0	xV02	FALSE
Pf3D7_02_v3	798865	799053	for	0	xV06	FALSE
Pf3D7_02_v3	798865	799053	for	24	xV05	FALSE
Pf3D7_02_v3	798865	799053	for	38	xV04	FALSE
Pf3D7_02_v3	798865	799053	for	9	xV03	FALSE
Pf3D7_02_v3	805831	805865	for	124	xV02	FALSE
Pf3D7_02_v3	805831	805865	for	201	xV03	FALSE
Pf3D7_02_v3	805831	805865	for	248	xV06	FALSE
Pf3D7_02_v3	805831	805865	for	315	xV01	FALSE
Pf3D7_02_v3	805831	805865	for	58	xV04	FALSE
Pf3D7_02_v3	805831	805865	for	78	xV05	FALSE
Pf3D7_03_v3	105008	105194	for	0	xV01	FALSE
Pf3D7_03_v3	105008	105194	for	0	xV05	FALSE
Pf3D7_03_v3	105008	105194	for	0	xV06	FALSE
Pf3D7_03_v3	105008	105194	for	21	xV04	FALSE
Pf3D7_03_v3	105008	105194	for	44	xV02	FALSE
Pf3D7_03_v3	105008	105194	for	70	xV03	FALSE
Pf3D7_03_v3	106143	106241	rev	107	xV05	FALSE
Pf3D7_03_v3	106143	106241	rev	126	xV02	FALSE
Pf3D7_03_v3	106143	106241	rev	20	xV06	FALSE
Pf3D7_03_v3	106143	106241	rev	73	xV03	FALSE
Pf3D7_03_v3	106143	106241	rev	81	xV01	FALSE
Pf3D7_03_v3	106143	106241	rev	83	xV04	FALSE
Pf3D7_03_v3	118000	118096	for	0	xV02	FALSE
Pf3D7_03_v3	118000	118096	for	0	xV03	FALSE
Pf3D7_03_v3	118000	118096	for	0	xV06	FALSE
Pf3D7_03_v3	118000	118096	for	1	xV04	FALSE
Pf3D7_03_v3	118000	118096	for	26	xV05	FALSE
Pf3D7_03_v3	118000	118096	for	32	xV01	FALSE
Pf3D7_03_v3	141977	142164	for	262	xV03	FALSE
Pf3D7_03_v3	141977	142164	for	420	xV02	FALSE
Pf3D7_03_v3	141977	142164	for	504	xV04	FALSE
Pf3D7_03_v3	141977	142164	for	546	xV01	FALSE
Pf3D7_03_v3	141977	142164	for	662	xV05	FALSE
Pf3D7_03_v3	141977	142164	for	724	xV06	FALSE
Pf3D7_03_v3	221434	221463	rev	0	xV01	FALSE
Pf3D7_03_v3	221434	221463	rev	0	xV02	FALSE
Pf3D7_03_v3	221434	221463	rev	0	xV04	FALSE
Pf3D7_03_v3	221434	221463	rev	0	xV06	FALSE
Pf3D7_03_v3	221434	221463	rev	29	xV05	FALSE
Pf3D7_03_v3	221434	221463	rev	55	xV03	FALSE
Pf3D7_03_v3	224676	224851	rev	218	xV01	FALSE
Pf3D7_03_v3	224676	224851	rev	298	xV02	FALSE
Pf3D7_03_v3	224676	224851	rev	389	xV03	FALSE
Pf3D7_03_v3	224676	224851	rev	390	xV05	FALSE
Pf3D7_03_v3	224676	224851	rev	393	xV04	FALSE
Pf3D7_03_v3	224676	224851	rev	799	xV06	FALSE
Pf3D7_03_v3	357946	357947	for	123	xV05	FALSE
Pf3D7_03_v3	357946	357947	for	13	xV04	FALSE
Pf3D7_03_v3	357946	357947	for	204	xV02	FALSE
Pf3D7_03_v3	357946	357947	for	55	xV06	FALSE
Pf3D7_03_v3	357946	357947	for	72	xV01	FALSE
Pf3D7_03_v3	357946	357947	for	88	xV03	FALSE
Pf3D7_03_v3	414966	415007	rev	174	xV06	FALSE
Pf3D7_03_v3	414966	415007	rev	321	xV04	FALSE
Pf3D7_03_v3	414966	415007	rev	494	xV05	FALSE
Pf3D7_03_v3	414966	415007	rev	511	xV02	FALSE
Pf3D7_03_v3	414966	415007	rev	797	xV01	FALSE
Pf3D7_03_v3	414966	415007	rev	901	xV03	FALSE
Pf3D7_03_v3	501862	502039	for	101	xV04	FALSE
Pf3D7_03_v3	501862	502039	for	156	xV06	FALSE
Pf3D7_03_v3	501862	502039	for	216	xV03	FALSE
Pf3D7_03_v3	501862	502039	for	40	xV05	FALSE
Pf3D7_03_v3	501862	502039	for	43	xV01	FALSE
Pf3D7_03_v3	501862	502039	for	4	xV02	FALSE
Pf3D7_03_v3	515445	515446	for	1450	xV04	FALSE
Pf3D7_03_v3	515445	515446	for	2117	xV01	FALSE
Pf3D7_03_v3	515445	515446	for	2449	xV05	FALSE
Pf3D7_03_v3	515445	515446	for	2536	xV02	FALSE
Pf3D7_03_v3	515445	515446	for	2785	xV06	FALSE
Pf3D7_03_v3	515445	515446	for	3576	xV03	FALSE
Pf3D7_03_v3	618446	618530	for	0	xV01	FALSE
Pf3D7_03_v3	618446	618530	for	0	xV02	FALSE
Pf3D7_03_v3	618446	618530	for	0	xV03	FALSE
Pf3D7_03_v3	618446	618530	for	0	xV04	FALSE
Pf3D7_03_v3	618446	618530	for	0	xV05	FALSE
Pf3D7_03_v3	618446	618530	for	0	xV06	FALSE
Pf3D7_03_v3	654094	654121	rev	199	xV05	FALSE
Pf3D7_03_v3	654094	654121	rev	235	xV06	FALSE
Pf3D7_03_v3	654094	654121	rev	335	xV01	FALSE
Pf3D7_03_v3	654094	654121	rev	549	xV03	FALSE
Pf3D7_03_v3	654094	654121	rev	61	xV04	FALSE
Pf3D7_03_v3	654094	654121	rev	671	xV02	FALSE
Pf3D7_03_v3	749596	749616	for	0	xV01	FALSE
Pf3D7_03_v3	749596	749616	for	0	xV02	FALSE
Pf3D7_03_v3	749596	749616	for	0	xV03	FALSE
Pf3D7_03_v3	749596	749616	for	0	xV04	FALSE
Pf3D7_03_v3	749596	749616	for	0	xV05	FALSE
Pf3D7_03_v3	749596	749616	for	0	xV06	FALSE
Pf3D7_03_v3	812635	812734	for	0	xV04	FALSE
Pf3D7_03_v3	812635	812734	for	105	xV05	FALSE
Pf3D7_03_v3	812635	812734	for	113	xV03	FALSE
Pf3D7_03_v3	812635	812734	for	136	xV02	FALSE
Pf3D7_03_v3	812635	812734	for	14	xV06	FALSE
Pf3D7_03_v3	812635	812734	for	153	xV01	FALSE
Pf3D7_03_v3	831267	831341	rev	167	xV01	FALSE
Pf3D7_03_v3	831267	831341	rev	218	xV04	FALSE
Pf3D7_03_v3	831267	831341	rev	218	xV06	FALSE
Pf3D7_03_v3	831267	831341	rev	283	xV02	FALSE
Pf3D7_03_v3	831267	831341	rev	304	xV05	FALSE
Pf3D7_03_v3	831267	831341	rev	470	xV03	FALSE
Pf3D7_03_v3	850831	850976	rev	0	xV01	FALSE
Pf3D7_03_v3	850831	850976	rev	0	xV02	FALSE
Pf3D7_03_v3	850831	850976	rev	12	xV03	FALSE
Pf3D7_03_v3	850831	850976	rev	40	xV05	FALSE
Pf3D7_03_v3	850831	850976	rev	45	xV06	FALSE
Pf3D7_03_v3	850831	850976	rev	4	xV04	FALSE
Pf3D7_03_v3	85501	85640	rev	1161	xV02	FALSE
Pf3D7_03_v3	85501	85640	rev	1505	xV03	FALSE
Pf3D7_03_v3	85501	85640	rev	1689	xV06	FALSE
Pf3D7_03_v3	85501	85640	rev	665	xV04	FALSE
Pf3D7_03_v3	85501	85640	rev	806	xV01	FALSE
Pf3D7_03_v3	85501	85640	rev	943	xV05	FALSE
Pf3D7_03_v3	855487	855517	rev	0	xV02	FALSE
Pf3D7_03_v3	855487	855517	rev	22	xV01	FALSE
Pf3D7_03_v3	855487	855517	rev	50	xV04	FALSE
Pf3D7_03_v3	855487	855517	rev	61	xV03	FALSE
Pf3D7_03_v3	855487	855517	rev	6	xV06	FALSE
Pf3D7_03_v3	855487	855517	rev	78	xV05	FALSE
Pf3D7_04_v3	1005294	1005358	rev	104	xV05	FALSE
Pf3D7_04_v3	1005294	1005358	rev	213	xV03	FALSE
Pf3D7_04_v3	1005294	1005358	rev	233	xV01	FALSE
Pf3D7_04_v3	1005294	1005358	rev	257	xV04	FALSE
Pf3D7_04_v3	1005294	1005358	rev	263	xV06	FALSE
Pf3D7_04_v3	1005294	1005358	rev	542	xV02	FALSE
Pf3D7_04_v3	1006234	1006284	rev	1150	xV01	FALSE
Pf3D7_04_v3	1006234	1006284	rev	1489	xV06	FALSE
Pf3D7_04_v3	1006234	1006284	rev	1785	xV02	FALSE
Pf3D7_04_v3	1006234	1006284	rev	393	xV05	FALSE
Pf3D7_04_v3	1006234	1006284	rev	719	xV03	FALSE
Pf3D7_04_v3	1006234	1006284	rev	725	xV04	FALSE
Pf3D7_04_v3	1037655	1037822	for	0	xV04	FALSE
Pf3D7_04_v3	1037655	1037822	for	12	xV05	FALSE
Pf3D7_04_v3	1037655	1037822	for	14	xV03	FALSE
Pf3D7_04_v3	1037655	1037822	for	35	xV01	FALSE
Pf3D7_04_v3	1037655	1037822	for	50	xV02	FALSE
Pf3D7_04_v3	1037655	1037822	for	6	xV06	FALSE
Pf3D7_04_v3	1042879	1043010	for	180	xV05	FALSE
Pf3D7_04_v3	1042879	1043010	for	243	xV02	FALSE
Pf3D7_04_v3	1042879	1043010	for	66	xV04	FALSE
Pf3D7_04_v3	1042879	1043010	for	83	xV03	FALSE
Pf3D7_04_v3	1042879	1043010	for	86	xV01	FALSE
Pf3D7_04_v3	1042879	1043010	for	92	xV06	FALSE
Pf3D7_04_v3	1082713	1082852	rev	1237	xV02	FALSE
Pf3D7_04_v3	1082713	1082852	rev	1464	xV01	FALSE
Pf3D7_04_v3	1082713	1082852	rev	1518	xV03	FALSE
Pf3D7_04_v3	1082713	1082852	rev	463	xV04	FALSE
Pf3D7_04_v3	1082713	1082852	rev	729	xV05	FALSE
Pf3D7_04_v3	1082713	1082852	rev	811	xV06	FALSE
Pf3D7_04_v3	1096059	1096232	for	0	xV01	FALSE
Pf3D7_04_v3	1096059	1096232	for	0	xV02	FALSE
Pf3D7_04_v3	1096059	1096232	for	0	xV03	FALSE
Pf3D7_04_v3	1096059	1096232	for	0	xV04	FALSE
Pf3D7_04_v3	1096059	1096232	for	0	xV05	FALSE
Pf3D7_04_v3	1096059	1096232	for	0	xV06	FALSE
Pf3D7_04_v3	109969	110040	rev	11	xV06	FALSE
Pf3D7_04_v3	109969	110040	rev	12	xV02	FALSE
Pf3D7_04_v3	109969	110040	rev	19	xV04	FALSE
Pf3D7_04_v3	109969	110040	rev	36	xV01	FALSE
Pf3D7_04_v3	109969	110040	rev	56	xV05	FALSE
Pf3D7_04_v3	109969	110040	rev	91	xV03	FALSE
Pf3D7_04_v3	1100672	1100813	for	0	xV01	FALSE
Pf3D7_04_v3	1100672	1100813	for	0	xV04	FALSE
Pf3D7_04_v3	1100672	1100813	for	0	xV05	FALSE
Pf3D7_04_v3	1100672	1100813	for	0	xV06	FALSE
Pf3D7_04_v3	1100672	1100813	for	13	xV02	FALSE
Pf3D7_04_v3	1100672	1100813	for	31	xV03	FALSE
Pf3D7_04_v3	1102437	1102558	for	0	xV01	FALSE
Pf3D7_04_v3	1102437	1102558	for	0	xV02	FALSE
Pf3D7_04_v3	1102437	1102558	for	0	xV05	FALSE
Pf3D7_04_v3	1102437	1102558	for	0	xV06	FALSE
Pf3D7_04_v3	1102437	1102558	for	18	xV04	FALSE
Pf3D7_04_v3	1102437	1102558	for	48	xV03	FALSE
Pf3D7_04_v3	1113468	1113583	rev	12	xV01	FALSE
Pf3D7_04_v3	1113468	1113583	rev	168	xV04	FALSE
Pf3D7_04_v3	1113468	1113583	rev	175	xV03	FALSE
Pf3D7_04_v3	1113468	1113583	rev	44	xV02	FALSE
Pf3D7_04_v3	1113468	1113583	rev	67	xV06	FALSE
Pf3D7_04_v3	1113468	1113583	rev	83	xV05	FALSE
Pf3D7_04_v3	1128545	1128627	for	0	xV04	FALSE
Pf3D7_04_v3	1128545	1128627	for	0	xV05	FALSE
Pf3D7_04_v3	1128545	1128627	for	126	xV06	FALSE
Pf3D7_04_v3	1128545	1128627	for	20	xV03	FALSE
Pf3D7_04_v3	1128545	1128627	for	34	xV01	FALSE
Pf3D7_04_v3	1128545	1128627	for	48	xV02	FALSE
Pf3D7_04_v3	115163	115217	rev	113	xV02	FALSE
Pf3D7_04_v3	115163	115217	rev	123	xV01	FALSE
Pf3D7_04_v3	115163	115217	rev	187	xV06	FALSE
Pf3D7_04_v3	115163	115217	rev	281	xV05	FALSE
Pf3D7_04_v3	115163	115217	rev	555	xV03	FALSE
Pf3D7_04_v3	115163	115217	rev	88	xV04	FALSE
Pf3D7_04_v3	129004	129157	rev	0	xV06	FALSE
Pf3D7_04_v3	129004	129157	rev	100	xV01	FALSE
Pf3D7_04_v3	129004	129157	rev	21	xV05	FALSE
Pf3D7_04_v3	129004	129157	rev	25	xV02	FALSE
Pf3D7_04_v3	129004	129157	rev	40	xV03	FALSE
Pf3D7_04_v3	129004	129157	rev	67	xV04	FALSE
Pf3D7_04_v3	133509	133686	rev	0	xV04	FALSE
Pf3D7_04_v3	133509	133686	rev	0	xV06	FALSE
Pf3D7_04_v3	133509	133686	rev	18	xV05	FALSE
Pf3D7_04_v3	133509	133686	rev	21	xV02	FALSE
Pf3D7_04_v3	133509	133686	rev	7	xV01	FALSE
Pf3D7_04_v3	133509	133686	rev	7	xV03	FALSE
Pf3D7_04_v3	138196	138317	for	0	xV06	FALSE
Pf3D7_04_v3	138196	138317	for	120	xV03	FALSE
Pf3D7_04_v3	138196	138317	for	135	xV01	FALSE
Pf3D7_04_v3	138196	138317	for	170	xV04	FALSE
Pf3D7_04_v3	138196	138317	for	45	xV02	FALSE
Pf3D7_04_v3	138196	138317	for	50	xV05	FALSE
Pf3D7_04_v3	141819	141896	for	0	xV01	FALSE
Pf3D7_04_v3	141819	141896	for	0	xV03	FALSE
Pf3D7_04_v3	141819	141896	for	0	xV04	FALSE
Pf3D7_04_v3	141819	141896	for	0	xV06	FALSE
Pf3D7_04_v3	141819	141896	for	111	xV05	FALSE
Pf3D7_04_v3	141819	141896	for	65	xV02	FALSE
Pf3D7_04_v3	143500	143683	for	0	xV01	FALSE
Pf3D7_04_v3	143500	143683	for	134	xV03	FALSE
Pf3D7_04_v3	143500	143683	for	35	xV04	FALSE
Pf3D7_04_v3	143500	143683	for	381	xV05	FALSE
Pf3D7_04_v3	143500	143683	for	78	xV02	FALSE
Pf3D7_04_v3	143500	143683	for	903	xV06	FALSE
Pf3D7_04_v3	147658	147767	rev	1113	xV03	FALSE
Pf3D7_04_v3	147658	147767	rev	1436	xV06	FALSE
Pf3D7_04_v3	147658	147767	rev	400	xV04	FALSE
Pf3D7_04_v3	147658	147767	rev	602	xV02	FALSE
Pf3D7_04_v3	147658	147767	rev	627	xV01	FALSE
Pf3D7_04_v3	147658	147767	rev	656	xV05	FALSE
Pf3D7_04_v3	414405	414582	for	0	xV01	FALSE
Pf3D7_04_v3	414405	414582	for	0	xV02	FALSE
Pf3D7_04_v3	414405	414582	for	0	xV03	FALSE
Pf3D7_04_v3	414405	414582	for	0	xV05	FALSE
Pf3D7_04_v3	414405	414582	for	0	xV06	FALSE
Pf3D7_04_v3	414405	414582	for	28	xV04	FALSE
Pf3D7_04_v3	415692	415766	for	0	xV01	FALSE
Pf3D7_04_v3	415692	415766	for	0	xV02	FALSE
Pf3D7_04_v3	415692	415766	for	0	xV03	FALSE
Pf3D7_04_v3	415692	415766	for	0	xV04	FALSE
Pf3D7_04_v3	415692	415766	for	0	xV05	FALSE
Pf3D7_04_v3	415692	415766	for	27	xV06	FALSE
Pf3D7_04_v3	544741	544797	for	108	xV01	FALSE
Pf3D7_04_v3	544741	544797	for	126	xV02	FALSE
Pf3D7_04_v3	544741	544797	for	308	xV03	FALSE
Pf3D7_04_v3	544741	544797	for	34	xV04	FALSE
Pf3D7_04_v3	544741	544797	for	46	xV06	FALSE
Pf3D7_04_v3	544741	544797	for	68	xV05	FALSE
Pf3D7_04_v3	612649	612796	for	10	xV03	FALSE
Pf3D7_04_v3	612649	612796	for	2	xV02	FALSE
Pf3D7_04_v3	612649	612796	for	32	xV04	FALSE
Pf3D7_04_v3	612649	612796	for	33	xV01	FALSE
Pf3D7_04_v3	612649	612796	for	46	xV05	FALSE
Pf3D7_04_v3	612649	612796	for	94	xV06	FALSE
Pf3D7_04_v3	630457	630569	rev	187	xV02	FALSE
Pf3D7_04_v3	630457	630569	rev	219	xV05	FALSE
Pf3D7_04_v3	630457	630569	rev	269	xV03	FALSE
Pf3D7_04_v3	630457	630569	rev	308	xV06	FALSE
Pf3D7_04_v3	630457	630569	rev	364	xV01	FALSE
Pf3D7_04_v3	630457	630569	rev	56	xV04	FALSE
Pf3D7_04_v3	635169	635321	rev	0	xV05	FALSE
Pf3D7_04_v3	635169	635321	rev	0	xV06	FALSE
Pf3D7_04_v3	635169	635321	rev	13	xV04	FALSE
Pf3D7_04_v3	635169	635321	rev	179	xV02	FALSE
Pf3D7_04_v3	635169	635321	rev	210	xV03	FALSE
Pf3D7_04_v3	635169	635321	rev	59	xV01	FALSE
Pf3D7_04_v3	639824	639975	for	106	xV06	FALSE
Pf3D7_04_v3	639824	639975	for	155	xV05	FALSE
Pf3D7_04_v3	639824	639975	for	15	xV02	FALSE
Pf3D7_04_v3	639824	639975	for	160	xV01	FALSE
Pf3D7_04_v3	639824	639975	for	383	xV03	FALSE
Pf3D7_04_v3	639824	639975	for	51	xV04	FALSE
Pf3D7_04_v3	647736	647776	rev	115	xV01	FALSE
Pf3D7_04_v3	647736	647776	rev	191	xV06	FALSE
Pf3D7_04_v3	647736	647776	rev	38	xV04	FALSE
Pf3D7_04_v3	647736	647776	rev	48	xV03	FALSE
Pf3D7_04_v3	647736	647776	rev	51	xV02	FALSE
Pf3D7_04_v3	647736	647776	rev	61	xV05	FALSE
Pf3D7_04_v3	677291	677328	rev	137	xV02	FALSE
Pf3D7_04_v3	677291	677328	rev	171	xV01	FALSE
Pf3D7_04_v3	677291	677328	rev	31	xV04	FALSE
Pf3D7_04_v3	677291	677328	rev	53	xV06	FALSE
Pf3D7_04_v3	677291	677328	rev	67	xV03	FALSE
Pf3D7_04_v3	677291	677328	rev	80	xV05	FALSE
Pf3D7_04_v3	693965	694049	for	208	xV05	FALSE
Pf3D7_04_v3	693965	694049	for	256	xV01	FALSE
Pf3D7_04_v3	693965	694049	for	34	xV04	FALSE
Pf3D7_04_v3	693965	694049	for	379	xV02	FALSE
Pf3D7_04_v3	693965	694049	for	514	xV06	FALSE
Pf3D7_04_v3	693965	694049	for	817	xV03	FALSE
Pf3D7_04_v3	748409	748577	for	108	xV02	FALSE
