VARIANT_TYPE	TRUTH_SAMPLE	CALL_SAMPLE	HET_SENSITIVITY	HET_PPV	HET_SPECIFICITY	HOMVAR_SENSITIVITY	HOMVAR_PPV	HOMVAR_SPECIFICITY	VAR_SENSITIVITY	VAR_PPV	VAR_SPECIFICITY	GENOTYPE_CONCORDANCE	NON_REF_GENOTYPE_CONCORDANCE
SNP	U51	1000-Qia-M-Sang-1	0.711538	0.653061	?	0.986445	0.98834	?	0.980591	0.98027	0.99989	0.999321	0.887341
SNP	fcr3	1000-Qia-M-Sang-2	0.490909	0.422939	?	0.688312	0.680007	?	0.685417	0.673742	0.998294	0.99606	0.466392
SNP	U51	1000-Qia-M-Sang-2	0.675	0.703571	?	0.983309	0.988861	?	0.977196	0.982227	0.999902	0.999269	0.878557
SNP	fcr3	1000-Qia-M-Sof-1	0.624161	0.423676	?	0.69048	0.674004	?	0.689616	0.667203	0.998204	0.996041	0.47071
SNP	U51	1000-Qia-M-Sof-1	0.823293	0.735119	?	0.982378	0.986944	?	0.979197	0.980142	0.999887	0.999412	0.902314
SNP	fcr3	1000-Qia-M-Sof-2	0.559748	0.41433	?	0.689097	0.677045	?	0.687292	0.669831	0.998237	0.996034	0.467962
SNP	U51	1000-Qia-M-Sof-2	0.761538	0.675676	?	0.983361	0.987009	?	0.978687	0.978608	0.999879	0.999357	0.893325
SNP	fcr3	1000-Qia-R-Sang-1	0.569697	0.397695	?	0.685046	0.676194	?	0.683354	0.667796	0.998254	0.995993	0.460405
SNP	U51	1000-Qia-R-Sang-1	0.712598	0.657143	?	0.980356	0.987265	?	0.974766	0.977739	0.999877	0.999243	0.874482
SNP	fcr3	1000-Qia-R-Sang-2	0.61039	0.399425	?	0.687797	0.676499	?	0.686744	0.668213	0.998237	0.996023	0.465748
SNP	U51	1000-Qia-R-Sang-2	0.776923	0.68144	?	0.982592	0.987647	?	0.978233	0.978631	0.99988	0.999315	0.886302
SNP	fcr3	1000-Qia-R-Sof-1	0.552326	0.425197	?	0.687649	0.674746	?	0.685622	0.666695	0.998203	0.996011	0.46712
SNP	U51	1000-Qia-R-Sof-1	0.705426	0.700521	?	0.979225	0.987372	?	0.973566	0.978504	0.999878	0.999362	0.894325
SNP	fcr3	1000-Qia-R-Sof-2	0.583815	0.461916	?	0.68744	0.673224	?	0.685887	0.665994	0.998186	0.995997	0.466663
SNP	U51	1000-Qia-R-Sof-2	0.716418	0.746305	?	0.976438	0.987068	?	0.970897	0.979228	0.999882	0.999355	0.893494
SNP	fcr3	100-Che-M-Sang-1	0.5	0.34657	?	0.689796	0.676387	?	0.687121	0.66846	0.998255	0.996011	0.463675
SNP	U51	100-Che-M-Sang-1	0.691667	0.659864	?	0.982574	0.985014	?	0.97684	0.977161	0.999873	0.999268	0.878724
SNP	fcr3	100-Che-M-Sang-2	0.54902	0.379032	?	0.688666	0.67415	?	0.686758	0.667795	0.998253	0.99601	0.463066
SNP	U51	100-Che-M-Sang-2	0.669355	0.641129	?	0.986502	0.985679	?	0.980003	0.978629	0.999882	0.999269	0.879023
SNP	fcr3	100-Che-M-Sof-1	0.593023	0.441417	?	0.688254	0.672314	?	0.686823	0.665143	0.998193	0.995989	0.465671
SNP	U51	100-Che-M-Sof-1	0.766284	0.69437	?	0.981882	0.98708	?	0.977366	0.978308	0.999877	0.999378	0.897116
SNP	fcr3	100-Che-M-Sof-2	0.781818	0.703704	?	0.969042	0.991352	?	0.966334	0.978255	0.999888	0.999165	0.85308
SNP	U51	100-Che-M-Sof-2	0.444898	0.515094	?	0.664898	0.696181	?	0.660449	0.68793	0.998342	0.995947	0.463489
SNP	fcr3	100-Che-R-Sang-1	0.503546	0.451456	?	0.681652	0.678067	?	0.679331	0.673787	0.998375	0.995991	0.450221
SNP	U51	100-Che-R-Sang-1	0.574661	0.661836	?	0.985269	0.98665	?	0.977418	0.980813	0.999899	0.999052	0.841998
SNP	fcr3	100-Che-R-Sang-2	0.566434	0.418006	?	0.681776	0.67838	?	0.680273	0.671101	0.998329	0.995985	0.453258
SNP	U51	100-Che-R-Sang-2	0.704846	0.664615	?	0.981161	0.988106	?	0.975845	0.979165	0.999888	0.999125	0.854249
SNP	fcr3	100-Che-R-Sof-1	0.535948	0.418129	?	0.685838	0.680278	?	0.683799	0.672438	0.998289	0.996042	0.463965
SNP	U51	100-Che-R-Sof-1	0.691983	0.717579	?	0.980161	0.989401	?	0.974532	0.981571	0.999899	0.999263	0.877324
SNP	fcr3	100-Che-R-Sof-2	0.552632	0.434524	?	0.681548	0.67755	?	0.67978	0.670285	0.998308	0.995992	0.455387
SNP	U51	100-Che-R-Sof-2	0.699588	0.714706	?	0.976903	0.986524	?	0.971256	0.97872	0.999885	0.99914	0.857003
SNP	fcr3	100-Qia-M-Sang-1	0.462963	0.353234	?	0.673648	0.681898	?	0.670881	0.673831	0.99878	0.995657	0.362163
SNP	U51	100-Qia-M-Sang-1	0.518987	0.605911	?	0.977419	0.988349	?	0.969098	0.979336	0.999919	0.997781	0.629211
SNP	fcr3	100-Qia-M-Sang-2	0.56	0.455319	?	0.66751	0.675503	?	0.665915	0.669331	0.998734	0.995659	0.365037
SNP	U51	100-Qia-M-Sang-2	0.623529	0.740741	?	0.974388	0.989343	?	0.967699	0.982464	0.99993	0.997872	0.64333
SNP	fcr3	100-Qia-M-Sof-1	0.702703	0.717949	?	0.971473	0.99066	?	0.967668	0.981374	0.999912	0.998843	0.794618
SNP	U51	100-Qia-M-Sof-1	0.400862	0.545455	?	0.656819	0.685263	?	0.651469	0.680343	0.998448	0.995737	0.427526
SNP	fcr3	100-Qia-M-Sof-2	0.626016	0.366534	?	0.67832	0.676623	?	0.677633	0.668423	0.998563	0.995768	0.400502
SNP	U51	100-Qia-M-Sof-2	0.75	0.658915	?	0.977888	0.985851	?	0.973535	0.977425	0.999897	0.998354	0.72549
SNP	fcr3	100-Qia-R-Sang-1	0.504132	0.453061	?	0.666144	0.684449	?	0.66398	0.678056	0.998696	0.995757	0.386595
SNP	U51	100-Qia-R-Sang-1	0.589744	0.72332	?	0.97216	0.989391	?	0.964368	0.982226	0.999924	0.99814	0.687781
SNP	fcr3	100-Qia-R-Sang-2	0.495798	0.5	?	0.675357	0.683689	?	0.673056	0.679496	0.998654	0.995825	0.400104
SNP	U51	100-Qia-R-Sang-2	0.554913	0.740566	?	0.977151	0.988421	?	0.969731	0.983011	0.999925	0.998292	0.713579
SNP	fcr3	100-Qia-R-Sof-1	0.542857	0.427509	?	0.674506	0.678782	?	0.672615	0.671857	0.998537	0.995836	0.412594
SNP	U51	100-Qia-R-Sof-1	0.679803	0.662963	?	0.977752	0.988408	?	0.971914	0.979858	0.999905	0.998496	0.74911
SNP	fcr3	100-Qia-R-Sof-2	0.557377	0.414062	?	0.675457	0.678913	?	0.67398	0.671982	0.998535	0.995857	0.413975
SNP	U51	100-Qia-R-Sof-2	0.624365	0.722656	?	0.978715	0.988681	?	0.971967	0.982029	0.999916	0.998492	0.748257
SNP	fcr3	10-Che-M-Sof-1	0.690647	0.758197	?	0.977402	0.99166	?	0.973195	0.985572	0.999938	0.998507	0.732775
SNP	U51	10-Che-M-Sof-1	0.367647	0.56917	?	0.651474	0.68826	?	0.645803	0.685129	0.998616	0.995644	0.401895
SNP	fcr3	1000-Che-M-Sang-1	0.585799	0.397101	?	0.691081	0.674242	?	0.689535	0.666219	0.998183	0.996018	0.470439
SNP	U51	1000-Che-M-Sang-1	0.784173	0.684211	?	0.983416	0.987561	?	0.979013	0.978857	0.999879	0.999456	0.90983
SNP	fcr3	1000-Che-M-Sang-2	0.590062	0.401163	?	0.690298	0.674939	?	0.688899	0.667031	0.998189	0.996038	0.471792
SNP	U51	1000-Che-M-Sang-2	0.709559	0.659218	?	0.982663	0.987604	?	0.976748	0.978228	0.999875	0.99943	0.905557
SNP	fcr3	1000-Che-M-Sof-1	0.576471	0.412104	?	0.691754	0.674417	?	0.690058	0.666806	0.99818	0.99603	0.472554
SNP	U51	1000-Che-M-Sof-1	0.735632	0.670423	?	0.982669	0.986856	?	0.977556	0.977944	0.999873	0.999443	0.907945
SNP	fcr3	1000-Che-M-Sof-2	0.539394	0.453704	?	0.692375	0.674948	?	0.69019	0.668933	0.998198	0.996042	0.473194
SNP	U51	1000-Che-M-Sof-2	0.730337	0.721713	?	0.983634	0.987513	?	0.978271	0.980604	0.999889	0.999471	0.912287
SNP	fcr3	1000-Che-R-Sang-1	0.580838	0.403561	?	0.689166	0.674421	?	0.687587	0.666695	0.998202	0.996023	0.468826
SNP	U51	1000-Che-R-Sang-1	0.714844	0.649123	?	0.981992	0.986959	?	0.976509	0.977685	0.999873	0.999395	0.899752
SNP	fcr3	1000-Che-R-Sang-2	0.559006	0.414557	?	0.690753	0.67656	?	0.688899	0.669527	0.998224	0.996047	0.47066
SNP	U51	1000-Che-R-Sang-2	0.721311	0.671875	?	0.981863	0.987823	?	0.976748	0.979664	0.999885	0.99938	0.897276
SNP	fcr3	1000-Che-R-Sof-1	0.596591	0.381201	?	0.690707	0.676887	?	0.689269	0.667367	0.998193	0.996034	0.470987
SNP	U51	1000-Che-R-Sof-1	0.749049	0.669192	?	0.9807	0.987792	?	0.975843	0.977714	0.999873	0.999397	0.900308
SNP	fcr3	1000-Che-R-Sof-2	0.559524	0.396739	?	0.689312	0.677507	?	0.687419	0.668779	0.998209	0.996035	0.470306
SNP	U51	1000-Che-R-Sof-2	0.717557	0.685484	?	0.980371	0.988603	?	0.97488	0.979567	0.999884	0.99941	0.902176
SNP	fcr3	1000-Qia-M-Sang-1	0.557576	0.378472	?	0.690062	0.675745	?	0.688121	0.668363	0.998244	0.99602	0.465488
SNP	U51	1000-Qia-M-Sang-1	0.711538	0.653061	?	0.986445	0.98834	?	0.980591	0.98027	0.99989	0.999321	0.887341
SNP	fcr3	1000-Qia-M-Sang-2	0.490909	0.422939	?	0.688312	0.680007	?	0.685417	0.673742	0.998294	0.99606	0.466392
SNP	U51	1000-Qia-M-Sang-2	0.675	0.703571	?	0.983309	0.988861	?	0.977196	0.982227	0.999902	0.999269	0.878557
SNP	fcr3	1000-Qia-M-Sof-1	0.624161	0.423676	?	0.69048	0.674004	?	0.689616	0.667203	0.998204	0.996041	0.47071
SNP	U51	1000-Qia-M-Sof-1	0.823293	0.735119	?	0.982378	0.986944	?	0.979197	0.980142	0.999887	0.999412	0.902314
SNP	fcr3	1000-Qia-M-Sof-2	0.559748	0.41433	?	0.689097	0.677045	?	0.687292	0.669831	0.998237	0.996034	0.467962
SNP	U51	1000-Qia-M-Sof-2	0.761538	0.675676	?	0.983361	0.987009	?	0.978687	0.978608	0.999879	0.999357	0.893325
SNP	fcr3	1000-Qia-R-Sang-1	0.569697	0.397695	?	0.685046	0.676194	?	0.683354	0.667796	0.998254	0.995993	0.460405
SNP	U51	1000-Qia-R-Sang-1	0.712598	0.657143	?	0.980356	0.987265	?	0.974766	0.977739	0.999877	0.999243	0.874482
SNP	fcr3	1000-Qia-R-Sang-2	0.61039	0.399425	?	0.687797	0.676499	?	0.686744	0.668213	0.998237	0.996023	0.465748
SNP	U51	1000-Qia-R-Sang-2	0.776923	0.68144	?	0.982592	0.987647	?	0.978233	0.978631	0.99988	0.999315	0.886302
SNP	fcr3	1000-Qia-R-Sof-1	0.552326	0.425197	?	0.687649	0.674746	?	0.685622	0.666695	0.998203	0.996011	0.46712
SNP	U51	1000-Qia-R-Sof-1	0.705426	0.700521	?	0.979225	0.987372	?	0.973566	0.978504	0.999878	0.999362	0.894325
SNP	fcr3	1000-Qia-R-Sof-2	0.583815	0.461916	?	0.68744	0.673224	?	0.685887	0.665994	0.998186	0.995997	0.466663
SNP	U51	1000-Qia-R-Sof-2	0.716418	0.746305	?	0.976438	0.987068	?	0.970897	0.979228	0.999882	0.999355	0.893494
SNP	fcr3	100-Che-M-Sang-1	0.5	0.34657	?	0.689796	0.676387	?	0.687121	0.66846	0.998255	0.996011	0.463675
SNP	U51	100-Che-M-Sang-1	0.691667	0.659864	?	0.982574	0.985014	?	0.97684	0.977161	0.999873	0.999268	0.878724
SNP	fcr3	100-Che-M-Sang-2	0.54902	0.379032	?	0.688666	0.67415	?	0.686758	0.667795	0.998253	0.99601	0.463066
SNP	U51	100-Che-M-Sang-2	0.669355	0.641129	?	0.986502	0.985679	?	0.980003	0.978629	0.999882	0.999269	0.879023
SNP	fcr3	100-Che-M-Sof-1	0.593023	0.441417	?	0.688254	0.672314	?	0.686823	0.665143	0.998193	0.995989	0.465671
SNP	U51	100-Che-M-Sof-1	0.76628
