GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	density	extraction	digest	swga	rep
20782073	113.557168	93.308019	84	69	0	0.065598	0	0.021129	0.026015	0.289357	0.297337	0.699436	0.980101	0.940972	0.892699	0.848925	0.809635	0.773948	0.741033	0.682307	0.632409	0.588886	0.5501	0.515199	0.484013	0.455985	0.967627	15	1000	Qia	M	Sof	1
20782073	110.386423	93.748213	78	65	0	0.062818	0	0.018621	0.026818	0.309296	0.284998	0.702551	0.978361	0.933623	0.880863	0.834434	0.792051	0.754174	0.720286	0.660775	0.610411	0.567366	0.529667	0.496362	0.466598	0.439879	0.964471	14	1000	Qia	M	Sof	2
20782073	96.540217	89.321719	61	50	0	0.088005	0	0.024689	0.029548	0.278272	0.287902	0.708416	0.976323	0.926278	0.86714	0.812067	0.762504	0.718876	0.679664	0.611763	0.555507	0.507547	0.466388	0.430815	0.399722	0.372381	0.959515	14	1000	Qia	R	Sang	1
20782073	95.11033	88.842995	59	48	0	0.086633	0	0.024534	0.02906	0.283715	0.298617	0.72256	0.976964	0.924842	0.865415	0.811318	0.761918	0.717032	0.676772	0.606975	0.548777	0.49992	0.458153	0.422022	0.390966	0.363666	0.959557	14	1000	Qia	R	Sang	2
20782073	109.619778	90.870887	79	62	0	0.075722	0	0.02298	0.027051	0.294539	0.265217	0.685509	0.980943	0.945268	0.901939	0.861056	0.821856	0.783968	0.748118	0.683516	0.627466	0.578066	0.535191	0.497944	0.465063	0.435335	0.969508	15	1000	Qia	R	Sof	1
20782073	103.152938	88.994019	71	55	0	0.073439	0	0.017787	0.025151	0.334493	0.234032	0.684902	0.981283	0.945835	0.897802	0.85104	0.806963	0.765667	0.727151	0.659608	0.600919	0.550144	0.506593	0.46813	0.434059	0.404178	0.970648	15	1000	Qia	R	Sof	2
20782073	93.94834	90.918198	55	47	0	0.066043	0	0.020449	0.027289	0.308033	0.302001	0.723815	0.972015	0.909341	0.839938	0.779834	0.72876	0.685022	0.646117	0.579967	0.526957	0.48301	0.445385	0.413112	0.385044	0.360038	0.952217	13	100	Che	M	Sang	1
20782073	93.991928	91.223705	55	47	0	0.063711	0	0.020379	0.027714	0.309155	0.307245	0.728203	0.971973	0.907897	0.838365	0.779289	0.7276	0.682079	0.642746	0.577829	0.525429	0.481641	0.444179	0.412109	0.383925	0.35912	0.951467	13	100	Che	M	Sang	2
20782073	111.343938	92.065447	81	65	0	0.07102	0	0.025395	0.028313	0.274325	0.28064	0.679691	0.981067	0.945032	0.898635	0.855458	0.81575	0.778901	0.744525	0.682965	0.62949	0.582658	0.541171	0.504365	0.471958	0.442473	0.969221	15	100	Che	M	Sof	1
20782073	115.704551	97.699765	83	72	0	0.08797	0	0.05679	0.06987	0.011935	0.468389	0.694954	0.973136	0.924213	0.870561	0.823874	0.782565	0.746261	0.71372	0.657496	0.611305	0.571983	0.53803	0.508536	0.482185	0.458563	0.946094	13	100	Che	M	Sof	2
20782073	54.053523	69.640426	25	21	0	0.079723	0	0.022914	0.028753	0.313109	0.181662	0.626161	0.955539	0.837173	0.71918	0.628747	0.557987	0.500024	0.451698	0.376674	0.32042	0.27737	0.243432	0.215801	0.193545	0.175063	0.918394	11	100	Che	R	Sang	1
20782073	66.881599	77.564747	33	27	0	0.076968	0	0.020919	0.029	0.320734	0.179515	0.627135	0.963728	0.869765	0.774295	0.696782	0.631276	0.575864	0.528887	0.45442	0.39678	0.350766	0.313196	0.28233	0.256007	0.233631	0.934711	12	100	Che	R	Sang	2
20782073	73.940136	77.834178	42	33	0	0.071292	0	0.021172	0.028159	0.321897	0.147033	0.589553	0.971566	0.904085	0.826153	0.756737	0.69668	0.643794	0.597241	0.519455	0.456966	0.405066	0.3617	0.325046	0.293683	0.266443	0.950595	13	100	Che	R	Sof	1
20782073	63.764572	72.678191	34	27	0	0.071493	0	0.020032	0.026411	0.330503	0.130721	0.579161	0.967597	0.886799	0.796633	0.716828	0.648322	0.590394	0.539996	0.457731	0.39339	0.34253	0.301231	0.267357	0.238932	0.215266	0.9432	12	100	Che	R	Sof	2
20782073	58.653201	88.794522	9	9	0	0.062057	0	0.016644	0.028242	0.31709	0.414074	0.838107	0.760345	0.580135	0.497375	0.448144	0.411871	0.383064	0.359715	0.323801	0.297566	0.276393	0.258886	0.244274	0.231301	0.219879	0.700381	5	100	Qia	M	Sang	1
20782073	56.14446	86.399688	9	9	0	0.06288	0	0.015993	0.026409	0.320264	0.419766	0.845313	0.765443	0.57951	0.493958	0.441952	0.404164	0.374919	0.351806	0.316382	0.289523	0.267815	0.249819	0.234584	0.221475	0.209922	0.703659	5	100	Qia	M	Sang	2
20782073	90.141515	96.867718	42	40	0	0.100238	0	0.076532	0.068278	0.012325	0.536252	0.793625	0.923574	0.818528	0.73677	0.677751	0.631692	0.594146	0.562208	0.510905	0.470324	0.437053	0.409167	0.385625	0.365069	0.346851	0.863874	9	100	Qia	M	Sof	1
20782073	71.676734	91.821032	22	22	0	0.064987	0	0.018543	0.025586	0.316069	0.37288	0.798065	0.848998	0.702698	0.616621	0.559359	0.516807	0.483521	0.456162	0.411899	0.376998	0.348939	0.325407	0.305873	0.288736	0.273593	0.801664	7	100	Qia	M	Sof	2
20782073	52.742863	79.799496	13	13	0	0.089749	0	0.0221	0.028607	0.313686	0.356742	0.810884	0.830279	0.646979	0.542609	0.476734	0.429676	0.393372	0.364136	0.318853	0.284698	0.257801	0.236141	0.218293	0.20303	0.189627	0.770562	6	100	Qia	R	Sang	1
20782073	55.972835	81.60615	14	14	0	0.091436	0	0.023433	0.028377	0.310192	0.31922	0.772658	0.834455	0.658458	0.55955	0.496317	0.450211	0.414326	0.385698	0.340584	0.30624	0.278126	0.254757	0.234901	0.217962	0.203564	0.776511	7	100	Qia	R	Sang	2
20782073	70.789574	89.064712	25	25	0	0.0767	0	0.022462	0.02783	0.303005	0.326453	0.75645	0.874504	0.736149	0.64792	0.587477	0.541149	0.503294	0.471883	0.422105	0.383228	0.351561	0.324816	0.301983	0.282613	0.265696	0.828449	8	100	Qia	R	Sof	1
20782073	64.585026	85.810614	20	20	0	0.086115	0	0.021078	0.026231	0.314038	0.299285	0.746748	0.865167	0.71298	0.617127	0.553297	0.505184	0.467512	0.43649	0.387942	0.350846	0.320876	0.296189	0.27561	0.257607	0.241848	0.816586	7	100	Qia	R	Sof	2
20782073	40.613036	69.06609	9	9	0	0.083195	0	0.074683	0.068216	0.013975	0.341312	0.581381	0.82318	0.604286	0.485078	0.414472	0.365273	0.328342	0.299111	0.255009	0.22253	0.197908	0.177957	0.161666	0.148352	0.13684	0.696133	5	10	Che	M	Sof	1
20782073	7.925754	27.18929	0	0	0	0.159047	0	0.053259	0.068423	0.017518	0.218468	0.516717	0.496871	0.23778	0.148847	0.108963	0.085515	0.070006	0.058988	0.044202	0.035243	0.029241	0.024914	0.021559	0.018954	0.016897	0.34522	2	10	Che	R	Sof	1	
